src,dst
24746,186
2505,186
20514,186
19300,186
17806,186
49966,186
7318,186
17030,186
17986,186
14950,186
31449,186
48340,186
47520,186
22361,186
13269,186
25039,186
45838,186
21956,186
34945,186
37419,186
24758,186
444,186
5996,186
14706,186
10939,186
1368,186
50043,186
35788,186
51218,186
43549,186
24437,186
25786,186
20929,186
8946,186
11710,186
57217,186
14768,186
54092,186
10457,186
47513,186
35364,186
16134,186
51499,186
30344,186
187,2801
31856,189
32357,191
10709,191
31713,191
21362,191
41701,192
55396,194
9063,195
12297,198
200,15440
200,20192
200,38950
200,8884
200,47039
200,3858
200,38626
8442,200
4955,200
50765,200
47932,200
19898,200
16929,200
39525,200
36287,200
14945,200
55682,200
202,23851
202,19394
202,38611
202,56685
202,10536
202,29207
202,3968
202,43868
202,12459
202,4184
202,56598
202,57327
202,36502
202,37043
203,8108
204,30373
38698,204
4159,205
11618,206
212,41285
212,40229
212,34569
212,11395
4222,212
41285,212
214,26392
216,52290
32060,216
217,35240
39303,218
21381,218
220,50993
25643,221
223,25961
49604,223
8600,223
16869,223
53458,223
226,28113
226,26092
231,7928
231,38950
231,57327
231,3373
32986,231
33333,231
13388,231
18893,231
55682,231
233,41192
233,48975
233,23148
233,53818
233,44214
233,40538
233,57327
235,53879
242,33674
244,43004
244,9806
244,12114
244,17150
6038,244
51962,244
23167,244
20055,244
43533,244
246,43740
13902,246
6079,249
24933,249
55161,249
42409,249
251,21
252,52879
261,25843
28362,262
1227,263
43118,268
41994,268
9661,268
270,52295
53916,270
3888,270
7979,270
272,11931
51279,276
4551,279
281,49424
8318,281
53027,286
22447,288
33283,288
34386,290
51581,290
52803,291
52409,291
297,24637
297,38757
31542,298
299,25225
301,51743
301,27018
303,54978
303,39108
303,34353
303,1175
303,33893
303,57327
27024,303
26585,303
46627,303
312,51782
312,32633
313,37253
37253,313
317,17229
17229,317
319,56125
319,14198
322,13866
13866,322
326,21330
326,6324
328,9123
328,53256
46677,328
18911,330
13001,332
333,55990
333,24658
333,20111
333,40256
333,3055
333,3211
333,41192
333,28645
333,29472
333,7001
333,31230
333,32631
333,52282
333,16286
333,57437
333,46047
333,53931
333,28539
333,35056
333,47465
333,57393
333,45993
333,28056
333,40692
333,12468
333,57327
47111,333
6038,333
6920,335
20641,337
338,53646
338,37197
338,39136
341,22460
342,28575
344,47153
344,42071
8647,344
42353,344
16489,344
43548,345
729,345
51524,345
55022,345
52797,345
19605,345
30227,345
10140,345
23247,345
971,345
42425,345
32174,345
1510,345
11186,345
346,52861
346,5171
346,26638
346,37869
51417,346
49678,360
41624,360
45251,362
363,26563
10513,365
367,53698
5482,367
41388,367
24275,367
18285,367
8940,367
10073,367
40122,367
47023,373
47676,373
48943,373
36638,373
374,28733
28733,374
376,5626
5626,376
377,14946
2993,377
379,33139
33139,379
381,11008
383,10611
383,14632
385,24995
38798,386
26626,387
388,34139
390,41955
390,45004
390,1565
390,18971
390,21129
390,23284
390,17012
390,25771
390,21466
390,32580
390,54521
390,44683
390,51764
390,31023
392,57394
392,8884
392,31336
392,57327
392,23807
22935,392
3515,392
36252,392
18488,392
36262,392
31198,392
10581,392
11403,392
21083,392
10634,392
34726,392
2489,392
47418,392
7511,392
395,21201
395,633
395,35743
395,14555
395,14685
51962,395
12611,395
13481,395
35743,395
44013,395
52738,396
42124,396
36615,397
398,21391
398,11338
398,24250
398,16674
398,45041
398,47802
398,7533
398,40692
398,43868
398,22627
398,33718
398,4184
398,11846
398,56598
398,57327
398,36802
398,39018
398,36502
34765,401
33243,401
3503,402
405,27443
405,16948
405,42492
405,31023
405,3373
21889,405
24045,405
57287,405
55371,405
39032,405
26480,405
28708,405
411,1746
411,44704
412,57462
414,9867
414,48697
414,30160
419,34471
20481,419
56904,419
34471,419
37515,421
425,10433
426,9522
428,14918
430,51741
432,18500
432,6999
55251,432
42322,433
434,18004
434,53698
434,991
434,4841
434,12738
434,15642
5764,434
22110,434
21079,434
32864,434
55550,434
24746,434
34243,434
21918,434
31312,434
16447,434
6881,434
47450,434
51218,434
49953,434
55776,434
435,40542
28700,435
26669,436
10675,438
41620,438
441,39299
441,43953
442,14789
444,18726
444,186
444,4253
444,34299
444,48854
444,39202
447,23508
150,447
455,15585
455,29255
52826,455
55481,455
456,49400
456,3968
456,55068
456,43868
456,49709
456,4184
456,11846
456,57327
456,56598
456,7855
456,39018
456,36502
456,37043
26192,456
30345,456
5992,456
36925,456
30429,456
44523,456
57421,456
7788,456
16119,456
55682,456
45752,456
41291,456
31022,456
17187,456
460,27540
460,43863
460,33362
460,9939
462,36502
33475,462
37650,462
7628,462
33768,462
25224,462
30065,462
52798,462
45802,462
14693,462
14657,462
48612,462
11500,462
47968,462
57293,462
38803,463
465,9738
36138,465
466,53827
53914,466
467,17165
56758,467
33614,467
7174,467
31769,467
42035,467
38465,467
4706,467
19114,467
17983,467
24780,467
41792,467
23708,467
32094,467
43168,467
28744,467
468,38849
468,24201
468,40879
468,8486
468,15086
468,50785
469,49709
469,36502
470,55430
470,10663
470,31105
470,24719
470,53579
470,38950
470,44214
470,50772
470,49709
470,49396
470,57327
470,24457
470,42492
38604,470
19801,470
47345,470
472,10295
475,34479
475,33204
475,28960
22457,477
26064,479
37814,480
481,21406
481,4123
481,27924
481,52351
481,848
481,5800
481,11840
481,43422
36576,481
6546,481
45230,481
16313,481
483,32531
488,16391
488,16982
488,49709
488,19214
488,49396
488,55209
488,51764
488,31023
488,16714
33376,488
27705,488
55942,488
6602,488
19131,488
21926,488
5716,488
41994,488
35096,488
5058,488
26771,488
49799,488
52514,488
10536,488
53653,488
489,18274
489,2141
490,25422
490,53848
490,34146
490,23807
490,30930
490,18242
21956,490
40676,490
25118,490
47325,491
567,494
496,37560
496,19465
496,49536
47114,496
12580,496
13877,496
19465,496
498,19983
501,54181
502,1373
502,18409
502,30162
502,15884
502,11840
502,38037
4715,503
9387,503
45044,503
48840,503
35722,503
30982,503
51031,503
44172,503
18705,503
19477,503
48935,503
54453,503
13709,505
506,1348
506,37442
506,7852
506,31023
506,46610
506,23807
506,15985
508,6709
508,11358
508,9915
508,52217
508,45341
508,49400
508,53490
508,6644
508,49709
508,37171
508,6848
508,57327
508,3373
13501,508
513,48593
54902,513
48593,513
50836,514
515,27351
515,8661
515,17588
515,11840
515,55068
515,37912
515,22627
515,4184
515,11846
515,57327
515,33605
515,40884
55994,515
17372,515
32641,515
17483,515
5034,515
20996,515
37033,515
50387,515
19849,515
30992,515
18409,515
516,23813
516,47096
22548,518
47315,520
521,15572
521,51097
521,28493
39055,521
30848,521
30335,521
5389,521
28493,521
4397,525
40288,525
26093,525
527,27151
527,29390
528,17615
531,12124
533,8294
533,54017
533,25298
533,25200
25298,533
538,54878
538,26354
25322,538
40131,538
54878,538
26354,538
540,14129
540,43913
540,52725
540,4047
540,57437
540,49543
540,37057
540,7928
540,49709
540,57327
24980,540
27728,540
34360,540
544,40692
544,24892
544,37557
50067,544
4881,544
19892,544
31156,544
20281,544
39057,544
45220,544
21264,544
46402,544
50765,544
55948,544
45296,544
21926,544
29906,544
50563,544
18016,544
17852,544
4579,544
8313,544
546,925
21721,546
548,35799
32085,552
53793,552
37164,552
45937,552
555,45506
47890,555
4933,555
18667,555
51962,555
36156,555
18597,555
31326,555
37803,555
2160,555
5280,555
13728,555
31782,557
559,32411
559,43635
559,46875
559,41994
559,54229
559,35735
559,52514
559,49508
559,7928
559,45993
559,26677
559,9979
559,52665
559,5761
559,28164
559,43636
559,56041
559,31830
559,45225
559,13666
559,16727
559,38950
559,48103
559,15401
559,10556
559,48366
559,16982
559,23442
559,36027
559,31152
559,43773
559,43791
559,858
559,34556
559,35677
559,19104
559,21788
559,54278
559,3614
559,18178
559,5199
559,47836
559,13225
559,27799
559,50925
559,17205
559,50047
559,31023
559,37854
559,51618
559,28575
559,42733
559,9963
559,56853
559,55105
559,10148
559,20099
559,51466
559,30908
559,11451
559,39593
22649,559
20867,559
29190,559
44809,559
32411,559
3055,559
29159,559
560,50598
10654,560
562,18745
562,11846
562,13233
563,50674
563,16727
563,38950
563,40692
25607,563
46240,563
13891,565
2582,565
32360,565
37497,565
26195,565
11638,565
22306,565
52176,565
28471,565
25276,565
15194,565
5084,565
567,494
578,47544
578,14360
47544,578
579,11846
39799,579
19002,579
45804,579
581,56199
582,42425
582,1510
1510,582
42425,582
32174,582
11186,582
41785,584
587,30870
587,17547
42215,587
33486,587
26769,587
47296,587
17547,587
40964,587
590,8946
38389,591
44777,591
593,4081
593,38674
594,26330
594,34486
594,38375
594,47513
594,40692
594,51775
594,21930
594,47197
594,40577
24063,595
598,3459
598,35379
598,51828
598,36502
31347,599
607,33957
607,5554
607,4620
609,44962
610,9726
610,24543
610,38746
610,35700
610,49910
610,29264
610,36010
610,3760
610,50707
610,1119
610,5335
610,9738
1068,611
612,12975
53950,613
616,39800
39800,616
619,18118
619,22118
619,7517
622,51999
625,20747
625,10778
628,54083
628,57327
628,51744
628,53698
628,1592
628,5751
628,26196
628,22384
628,16771
628,40300
628,9328
40685,628
44739,628
11862,628
32527,628
630,26481
630,25668
630,57282
630,23148
630,4427
630,8019
630,26002
630,40297
630,15440
630,38950
630,20584
630,47039
630,6048
630,49709
630,57327
630,38626
630,3373
630,1649
630,15985
21722,631
632,3887
632,46057
632,45909
632,20239
632,49741
632,36850
632,41677
632,29207
632,49400
632,3968
632,51590
632,11840
632,26072
632,38266
632,48479
632,36502
632,24998
633,21201
633,14685
5938,633
51962,633
19386,633
22971,633
13481,633
395,633
48629,633
35743,633
14555,633
44013,633
634,54847
635,14194
38878,635
54773,635
638,11822
638,20680
638,26497
638,7821
643,28059
643,55401
27083,645
53727,647
649,23468
649,48016
50776,650
31638,655
662,23770
662,34640
662,11360
662,15842
662,7852
662,17960
662,51618
662,23807
662,40495
8276,663
667,49038
667,3525
667,39632
667,42221
667,4028
667,12595
667,13435
667,23868
667,26211
670,25979
670,21773
670,37060
670,24780
670,40782
670,36180
670,27297
670,56126
670,13871
670,35379
670,33494
25979,670
21773,670
37060,670
672,19257
23577,672
55819,672
12576,672
28748,672
16039,672
25724,672
52775,672
52590,672
42989,673
674,4765
674,20111
674,38898
674,34899
674,23804
674,25404
674,43790
674,32010
674,31023
33942,674
675,36029
675,26726
675,11946
39998,675
676,29472
676,30992
676,47216
676,38375
676,3968
676,57327
676,44150
45850,676
45277,676
20867,676
33701,676
15796,676
5348,676
44662,677
678,40219
680,41193
680,11360
680,19402
680,17960
680,51618
33520,681
682,44602
4211,682
55610,682
1096,686
41022,686
43101,687
20,689
695,33631
696,23028
697,23892
39464,699
700,53028
701,46158
701,41265
703,52067
703,21267
26039,703
706,5703
709,1631
709,38478
710,38800
710,12947
711,14532
711,40577
18217,711
18282,711
20539,711
714,40489
43579,715
41087,715
716,6344
716,3691
716,51076
716,1542
3249,717
31189,717
37638,717
17699,717
719,18791
720,38451
720,16054
723,18772
723,43266
18772,723
725,16685
725,49396
725,2578
2399,725
24982,725
52273,726
41077,726
729,41545
729,7453
729,44272
729,345
729,36116
729,55209
730,52622
730,42332
730,31035
22635,730
8612,730
9538,730
7141,730
22500,730
30389,730
54539,730
13658,730
54359,730
47339,730
53001,730
20216,730
48373,730
49764,730
37974,730
31035,730
31339,732
26230,732
36532,734
735,43282
737,20183
742,52453
742,15543
24045,742
4452,742
38608,742
32179,742
52453,742
743,37823
15076,750
751,10099
752,16871
50827,752
753,50061
755,3373
9406,755
14419,755
57146,755
41578,755
11001,755
20281,755
41548,755
23753,755
52051,755
20648,755
22438,755
49382,755
16929,755
28970,755
1310,755
35170,755
15133,755
21926,755
37428,755
28019,755
8303,755
18664,755
42357,755
56948,755
26310,755
46097,755
41172,755
40129,755
45381,755
49979,755
5731,755
43736,755
44844,755
11914,755
4052,755
49980,755
12279,755
36646,755
23981,755
16391,755
23626,755
16982,755
25066,755
6848,755
756,13971
756,158
756,57327
759,20866
759,40627
759,36003
759,12229
759,50560
759,11668
759,11840
759,22027
759,25782
759,23575
7193,759
762,20116
763,45133
763,50042
45133,763
48364,764
766,44175
766,17357
766,36502
3042,766
767,5237
767,21597
767,24246
768,12802
768,29002
768,21881
768,16096
768,15052
47668,769
770,1827
15710,770
771,57215
773,52921
773,41583
776,56521
35092,776
12556,779
781,15293
781,13225
781,36502
781,21590
783,46175
783,34952
39466,783
785,57327
785,17176
785,56538
12397,785
787,20994
787,5402
787,27799
787,40577
787,42492
16260,787
22935,787
24063,787
46951,787
52878,787
40051,787
31517,787
37495,787
41317,787
25098,787
53744,787
36167,787
45469,787
40199,787
49538,787
44959,787
7511,787
9582,787
36591,787
46655,787
55596,787
24233,787
32468,787
41687,787
50772,787
34933,787
132,787
20994,787
13484,787
789,10536
789,16982
33705,789
792,25810
7063,792
36434,792
9446,795
11066,795
800,57345
801,186
801,19697
801,55663
47986,801
10832,803
52073,804
807,57004
807,16664
807,2083
807,57087
57004,807
31386,807
809,34623
45966,812
46356,812
12316,812
18365,812
35569,812
25687,813
36538,814
3593,814
29957,824
45202,825
31189,825
19809,825
51537,825
2846,825
36313,825
54201,825
51910,825
14386,825
47073,826
827,42479
827,49400
827,12459
827,57327
827,42476
827,22587
827,36502
26887,827
48787,827
40992,827
41068,827
55682,827
19394,827
41291,827
25604,827
47216,827
829,9472
31934,829
18180,829
25289,829
46666,829
42247,829
49038,829
3525,829
50622,829
8662,829
54092,829
25634,829
32404,831
19431,833
10336,833
43508,833
837,40692
22108,837
27869,837
51867,838
844,32423
844,15371
844,46945
32423,844
15371,844
46945,844
846,34137
846,7852
846,1085
21470,847
13329,848
6546,848
55774,848
11110,848
32404,848
19954,848
17675,848
42883,848
44890,848
7702,848
16981,848
45230,848
16313,848
5570,848
481,848
20853,848
4836,848
9731,848
3800,848
17474,848
18477,848
16033,848
49045,848
18409,848
38409,848
24473,848
8552,848
43282,848
849,11846
849,25836
849,53698
849,31327
849,27892
55405,849
850,20757
850,54844
851,23952
23952,851
852,49837
852,31023
852,28575
852,52645
852,51466
852,30908
852,16569
51547,852
11210,852
33942,852
15320,852
42314,852
34002,852
53523,852
46909,852
4931,852
6539,852
853,27575
49307,853
27575,853
19321,855
20133,857
41073,857
43841,857
8705,857
25449,858
16816,858
37100,858
44627,858
7564,858
20489,858
41147,858
54884,858
41994,858
51974,858
32403,858
26034,858
36555,858
35621,858
559,858
17417,858
16982,858
55132,860
861,9062
862,33605
862,57281
866,13233
867,2048
867,1852
867,37074
867,53379
867,56616
868,37230
871,1176
871,25462
875,40357
875,37832
875,45041
875,38950
875,28664
875,22713
875,49709
875,27711
875,4184
875,57327
875,55209
875,42201
875,3201
875,39018
875,47157
875,21131
875,37043
18217,875
24045,875
28445,875
43421,875
37832,875
878,6608
878,48711
878,30707
29900,879
42011,879
11163,879
883,13320
883,55267
883,27429
883,20638
30973,883
15048,883
885,20048
54745,885
48998,885
1170,885
27958,886
49309,886
18674,886
889,11840
889,33481
889,8060
889,12474
889,18799
41873,889
890,18128
890,36542
890,4184
890,43726
9760,891
51871,891
32424,897
900,31561
905,2790
905,31361
22339,905
906,55430
56593,906
907,2481
908,28477
908,8766
909,34243
909,42656
909,10939
909,48056
909,7093
909,2258
909,3976
909,17224
909,19187
909,41612
909,26433
909,30868
909,53698
909,12849
909,54546
24478,909
910,37590
912,3762
913,21285
913,26518
913,53896
913,43280
913,37397
918,57461
918,2749
9688,918
20420,918
923,5761
923,13666
923,56675
923,49877
923,8766
923,29723
923,55425
13322,923
18095,923
47111,923
24229,923
30375,923
18485,923
27705,923
50414,923
56766,923
3042,923
45448,923
14848,923
6317,923
52251,923
28472,923
9998,923
36287,923
22626,923
4889,923
21862,923
30992,923
1340,923
11017,923
42730,923
51974,923
16167,924
34723,924
11683,925
546,925
17434,925
51944,925
31839,926
17983,926
35232,926
38121,927
8969,927
2611,927
10693,927
929,46469
929,12398
29425,930
932,17852
932,42730
932,3853
932,37057
932,22282
932,10404
932,31315
932,1702
932,54122
932,40692
932,38140
932,4330
932,11846
932,57327
932,55209
932,45280
23306,932
935,50092
51686,936
46287,936
41451,936
21037,936
54690,936
55774,937
52756,937
940,47365
940,55682
940,12605
940,7042
940,12418
940,41149
940,5050
940,5679
940,56031
940,3088
940,15079
940,23442
940,19214
940,8176
940,1019
940,37239
940,46610
940,42733
941,9360
941,45993
941,49400
941,3968
941,11840
941,57327
941,36502
45230,941
12519,941
38409,941
27747,942
41851,942
31682,942
112,942
50423,942
46723,942
53523,942
6539,942
29746,942
26830,942
20863,942
24497,942
45280,942
944,17618
944,23948
38840,944
947,26608
948,53887
948,2235
948,14298
34142,948
39672,948
53887,948
950,30386
30386,950
951,12748
5353,951
952,56200
952,38445
952,44987
953,20971
29913,953
2476,953
1701,953
51456,957
959,25626
959,20111
959,52725
959,4941
959,57282
959,4047
959,53651
959,7644
959,21858
959,20994
959,3154
959,45195
959,47836
32695,962
3604,962
963,32682
24156,964
965,2625
965,2537
965,10663
965,15838
965,57327
968,4251
970,29892
971,42902
971,3830
971,46190
971,28162
971,49652
971,10980
971,11779
971,14871
971,30381
971,345
971,3098
971,20023
971,54735
971,41456
971,28539
971,5573
971,1282
971,31847
971,51090
971,12418
971,14227
971,44844
971,14866
971,51460
971,23184
971,54719
971,30602
971,41217
971,50011
971,7688
971,23981
971,14011
971,30677
971,53113
971,36714
971,5604
971,16982
971,22713
971,23870
971,57211
971,57327
971,45397
51524,971
18352,971
45022,971
30752,971
19605,971
8756,971
6489,971
8500,971
37141,971
32888,971
27637,971
13582,971
46190,971
14227,971
41556,975
25678,977
981,49547
981,27728
981,20111
981,21498
981,4047
981,2625
981,22218
981,35571
981,37832
981,17145
981,15440
981,38950
981,40692
983,26339
983,14826
983,28753
54711,983
4268,983
37487,984
33899,984
28983,984
27090,984
21918,984
16120,984
27904,984
49953,984
9669,984
4976,985
48669,988
50780,988
22968,991
56758,991
40179,991
30375,991
5764,991
11477,991
22110,991
21079,991
29499,991
32864,991
11010,991
42903,991
39646,991
2505,991
21918,991
31312,991
35684,991
16447,991
56532,991
20121,991
46211,991
24276,991
50496,991
37034,991
6881,991
47566,991
47450,991
9086,991
7997,991
23344,991
40288,991
25435,991
14989,991
38178,991
27321,991
49953,991
4329,991
9669,991
31592,991
26201,991
30593,991
11236,991
434,991
5362,991
33160,991
13678,991
38395,991
992,36071
992,46275
992,12590
992,8746
24785,992
995,28640
995,2125
18683,995
19212,995
28640,995
996,33631
997,44856
16001,997
1001,16140
1001,3603
1001,31006
1001,43444
1002,52197
3659,1003
1004,5029
1004,3834
1004,57335
1004,33105
1004,53817
53075,1004
25126,1004
53817,1004
15473,1005
25865,1006
1010,12332
1011,14999
1011,29767
1011,34500
6894,1012
46837,1012
31717,1012
11370,1012
7494,1012
1855,1012
31357,1012
1013,38487
1013,57189
1013,21109
1013,43870
1013,32682
9952,1013
1015,57154
1015,38856
1017,17624
940,1019
17372,1019
16816,1019
27705,1019
50656,1019
48112,1019
1565,1019
24522,1019
38405,1019
1025,32507
1030,15543
2190,1030
27691,1030
13048,1030
47598,1030
37208,1030
40928,1031
1032,49222
24738,1033
18850,1033
1034,40283
43778,1035
29635,1035
37029,1035
31354,1035
40530,1035
48487,1035
41012,1035
31518,1035
7704,1035
36750,1035
54722,1035
24363,1035
25544,1035
46743,1035
24753,1035
45221,1035
7561,1035
1038,30930
1042,18189
1042,16982
1042,57327
1043,5264
1043,45715
1043,53285
1046,12821
1046,27669
1057,11284
1057,52197
55274,1058
1065,23378
1066,49709
1066,57327
1066,36571
22190,1066
27464,1066
40206,1066
51527,1066
41609,1066
1067,41902
1068,7136
1068,611
1068,22855
39892,1069
1070,5611
40437,1070
33296,1070
1073,33220
1074,9292
43351,1074
5856,1074
24738,1074
1078,34996
1078,2229
1078,16982
1079,53858
42762,1079
1080,36366
1081,35221
1081,39184
19315,1083
52910,1083
35835,1084
39335,1085
846,1085
26561,1085
54399,1085
1087,53455
1087,11058
1087,21316
1087,2113
1087,54050
1087,16982
1087,42492
16949,1087
28445,1087
22219,1087
24785,1087
1089,24903
1089,17446
1091,21810
1091,1702
1091,11840
1091,37912
1091,12459
1091,5850
1091,56023
1092,41192
1092,31438
1092,18741
1092,34975
1092,22435
1092,39356
1092,50172
1092,8627
1092,57327
1092,16107
26718,1092
5844,1092
47517,1092
42314,1092
34360,1092
16152,1092
52918,1093
3358,1093
1094,44569
1094,55425
1096,43299
1096,3081
1096,686
50994,1096
1097,35425
1098,12459
1100,57327
1104,24264
1105,27438
1106,48310
1107,26137
1107,21784
1107,20343
1107,30979
1107,28481
1107,46517
1107,5848
1107,56660
1107,24985
1108,6064
1109,17579
36833,1109
1110,40811
1111,50715
49931,1111
1113,50261
1113,6644
1113,45259
53952,1118
7702,1118
9002,1118
29626,1118
16670,1118
9731,1118
17474,1118
18477,1118
7266,1118
51967,1118
5721,1118
50824,1118
16077,1118
21804,1118
18409,1118
28218,1118
38409,1118
28266,1118
52479,1118
19523,1118
8552,1118
4708,1118
32569,1118
6654,1118
17529,1118
51106,1118
1119,9738
610,1119
29907,1119
53061,1119
17545,1119
8319,1119
16266,1119
38746,1119
20403,1119
47929,1119
32331,1119
50588,1119
1122,44825
1122,16982
1122,10325
51925,1122
14945,1122
6024,1122
1123,25773
1123,27174
1123,40692
1123,38140
1123,23370
18095,1123
24632,1123
36768,1123
34585,1123
24045,1123
39224,1123
28445,1123
3888,1123
1127,2779
1127,32745
1127,29920
48503,1127
1128,6875
1128,4703
50483,1131
1133,55123
1133,27406
1134,48123
1136,13991
1137,36820
1137,57217
1137,33713
1137,57177
1140,186
1142,44870
1142,1490
1142,49392
1142,5430
1142,21616
15344,1143
34945,1143
35182,1146
1147,45000
1148,40692
1148,49709
1148,53551
1148,1592
1148,16771
1148,40300
11862,1148
1150,55669
1151,12519
1151,30558
1151,31366
1151,38774
1151,14719
4404,1151
1152,45008
1152,57327
1152,53858
21088,1152
40461,1152
47386,1152
48422,1152
8778,1152
6488,1152
50563,1152
19464,1152
20041,1152
1154,31514
1154,54885
1156,12558
1156,47877
42936,1157
29819,1157
15573,1157
1159,40443
49319,1161
24616,1161
51438,1163
1168,53306
18488,1168
43328,1168
51003,1168
1170,885
1170,20048
54745,1170
1172,22050
1172,40288
1172,47222
1172,5105
1172,38974
1172,25782
1172,23575
1172,38395
1172,25426
1172,51828
1172,36574
1172,36502
43431,1173
1175,18741
1175,32903
1175,20584
1175,56521
1175,39356
1175,54122
1175,50925
1175,3858
1175,50574
1175,52007
1175,38626
1175,35198
1175,51575
31317,1175
44823,1175
9936,1175
36097,1175
10105,1175
51879,1175
9277,1175
27024,1175
5034,1175
41968,1175
5844,1175
47118,1175
31682,1175
21079,1175
41226,1175
42314,1175
19352,1175
23,1175
27367,1175
34360,1175
2053,1175
46115,1175
28934,1175
51734,1175
57212,1175
25238,1175
9384,1175
3055,1175
5287,1175
47816,1175
13560,1175
49844,1175
23671,1175
3214,1175
15444,1175
56942,1175
56390,1175
15091,1175
41023,1175
303,1175
6577,1175
25082,1175
54911,1175
20408,1175
44108,1175
51838,1175
3853,1175
12681,1175
6306,1175
21168,1175
34726,1175
37338,1175
4979,1175
21959,1175
17354,1175
49555,1175
55872,1175
43736,1175
41677,1175
26995,1175
39965,1175
46360,1175
18741,1175
53171,1175
28752,1175
36017,1175
29109,1175
32783,1175
41236,1175
3941,1175
6636,1175
4330,1175
44361,1175
1176,54113
28227,1176
14413,1176
871,1176
55262,1176
39818,1176
23708,1176
43566,1176
54113,1176
1179,36781
16062,1179
34792,1181
48511,1181
1182,41252
1182,49400
1182,11840
1182,40307
1182,54077
1182,56664
1182,36987
1182,12459
1182,18004
1182,4841
56758,1182
33614,1182
48960,1182
1184,20930
1184,17750
2304,1185
1186,24423
1186,25384
1186,39957
1186,3560
48195,1187
49916,1187
54627,1187
1188,40776
1188,5366
1188,38844
5232,1189
15622,1189
1191,49188
14870,1191
1192,51602
1193,25262
1195,53605
8092,1195
1196,12155
1197,20111
1197,35127
1197,40676
1197,31105
1197,15610
1197,8766
42060,1197
1198,36397
27480,1198
1205,9548
1205,40566
1205,15662
1205,30806
1205,57443
1205,22179
1205,4323
36833,1207
1208,27320
1208,25591
1209,8771
1209,21844
8771,1209
21844,1209
39257,1212
16802,1212
44328,1213
49959,1213
36034,1213
6360,1213
15342,1216
1217,50954
1217,23868
1217,42109
53712,1219
32220,1219
38089,1220
29299,1220
51913,1220
47874,1220
35249,1220
23708,1220
22174,1220
50508,1220
42869,1221
1779,1223
49202,1223
42696,1224
6457,1224
26108,1225
1227,263
11532,1227
57056,1227
